2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_buy:180 | 매수 체결: 005930 433주 @ 69269.20 (수수료: 4499.03)
2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_sell:206 | 매도 체결: 005930 433주 @ 69130.80 (수수료: 4490.05)
2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_buy:180 | 매수 체결: 005930 433주 @ 69269.20 (수수료: 4499.03)
2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_sell:206 | 매도 체결: 005930 433주 @ 69130.80 (수수료: 4490.05)
2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_buy:180 | 매수 체결: AAPL 4주 @ 69269.20 (수수료: 692.69)
2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_sell:206 | 매도 체결: AAPL 4주 @ 69130.80 (수수료: 691.31)
2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_buy:180 | 매수 체결: AAPL 4주 @ 69269.20 (수수료: 692.69)
2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_sell:206 | 매도 체결: AAPL 4주 @ 69130.80 (수수료: 691.31)
2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_buy:180 | 매수 체결: AAPL 4주 @ 69269.20 (수수료: 692.69)
2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_sell:206 | 매도 체결: AAPL 4주 @ 69130.80 (수수료: 691.31)
2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_buy:180 | 매수 체결: AAPL 4주 @ 69269.20 (수수료: 692.69)
2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_sell:206 | 매도 체결: AAPL 4주 @ 69130.80 (수수료: 691.31)
2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_buy:180 | 매수 체결: AAPL 4주 @ 69269.20 (수수료: 692.69)
2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_sell:206 | 매도 체결: AAPL 4주 @ 69130.80 (수수료: 691.31)
2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_buy:180 | 매수 체결: AAPL 4주 @ 69269.20 (수수료: 692.69)
2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_sell:206 | 매도 체결: AAPL 4주 @ 69130.80 (수수료: 691.31)
2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_buy:180 | 매수 체결: 005930 42주 @ 71071.00 (수수료: 447.75)
2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_buy:180 | 매수 체결: 005930 41주 @ 71571.50 (수수료: 440.16)
2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_buy:180 | 매수 체결: 005930 42주 @ 71071.00 (수수료: 447.75)
2026-02-10 09:52:45 | INFO     | quant_backtest:_fill_sell:206 | 매도 체결: 005930 42주 @ 71928.00 (수수료: 453.15)
2026-02-10 09:52:45 | WARNING  | quant_backtest:run:61 | 데이터가 2봉 미만이어서 백테스트를 실행할 수 없습니다.
2026-02-10 09:52:45 | WARNING  | quant_backtest:run:61 | 데이터가 2봉 미만이어서 백테스트를 실행할 수 없습니다.
2026-02-10 10:13:51 | INFO     | quant_backtest:_ensure_token:90 | KIS API 토큰 발급 완료 (만료: 2026-02-11 10:13:51.962671)
2026-02-10 10:13:51 | INFO     | quant_backtest:_ensure_token:90 | KIS API 토큰 발급 완료 (만료: 2026-02-11 10:13:51.977940)
2026-02-10 10:13:51 | INFO     | quant_backtest:_ensure_token:90 | KIS API 토큰 발급 완료 (만료: 2026-02-11 10:13:51.993295)
2026-02-10 10:13:52 | INFO     | quant_backtest:_ensure_token:90 | KIS API 토큰 발급 완료 (만료: 2026-02-11 10:13:52.018375)
2026-02-10 10:13:52 | INFO     | quant_backtest:_ensure_token:90 | KIS API 토큰 발급 완료 (만료: 2026-02-11 10:13:52.033877)
2026-02-10 10:13:52 | INFO     | quant_backtest:_ensure_token:90 | KIS API 토큰 발급 완료 (만료: 2026-02-11 10:13:52.047735)
2026-02-10 10:13:52 | WARNING  | quant_backtest:_request_with_retry:148 | KIS API 재시도 1/3 (대기 1s): 한국투자증권 API 호출 제한
2026-02-10 10:13:53 | INFO     | quant_backtest:_ensure_token:90 | KIS API 토큰 발급 완료 (만료: 2026-02-11 10:13:53.090335)
2026-02-10 10:13:53 | WARNING  | quant_backtest:_request_with_retry:148 | KIS API 재시도 1/3 (대기 1s): 한국투자증권 API 호출 제한
2026-02-10 10:13:54 | WARNING  | quant_backtest:_request_with_retry:148 | KIS API 재시도 2/3 (대기 2s): 한국투자증권 API 호출 제한
2026-02-10 10:13:56 | INFO     | quant_backtest:fetch_ohlcv:64 | 캐시 미스: 005930 KR 1d → API 호출
2026-02-10 10:13:56 | INFO     | quant_backtest:_ensure_token:90 | KIS API 토큰 발급 완료 (만료: 2026-02-11 10:13:56.183011)
2026-02-10 10:13:56 | INFO     | quant_backtest:_upsert_cache:120 | 캐시 저장 완료: 005930 2건
2026-02-10 10:13:56 | INFO     | quant_backtest:fetch_ohlcv:58 | 캐시 히트: 005930 KR 1d (2건)
2026-02-10 10:13:56 | INFO     | quant_backtest:fetch_ohlcv:64 | 캐시 미스: 005930 KR 1d → API 호출
